objectid,parentid,title,description,archival_call_number,archival_collection,finding_aid_ark,source,contributing_institution_valueURI,language,subject,topical_subject_fast_valueURI,geographic_subject_fast,geographic_subject_fast_valueURI,geographic_subject_local,location,latitude,longitude,personal_name_subject,personal_name_subject_valueURI,corporate_name_subject,corporate_name_subject_valueURI,extent,rights,rightsstatement,date,ark,date_created,date_modified,digital_collection,digital_collection_ark,digital_origin,pid,local_id,type,dcmi_type_valueURI,type_of_resource,imt_type,filename,identifier,format,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,object_ocr,pdf_download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks011,iowastateparks011,Front,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_9,IowaStateParks_9,,,,image/tiff,04-08-l_offcampus_0377-013-003a.jpg,04-08-l_offcampus_0377-013-003a,image/jpeg,image,/objects/04-08-l_offcampus_0377-013-003a.jpg,/objects/small/04-08-l_offcampus_0377-013-003a_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-003a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks012,iowastateparks011,Back,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_10,IowaStateParks_10,,,,image/tiff,04-08-l_offcampus_0377-013-003b.jpg,04-08-l_offcampus_0377-013-003b,image/jpeg,image,/objects/04-08-l_offcampus_0377-013-003b.jpg,/objects/small/04-08-l_offcampus_0377-013-003b_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-003b_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks013,,Ledges State Park,A black and white photograph showing a women standing in a creek located in Ledges State Park.,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,,,Iowa--Boone County,http://id.worldcat.org/fast/1212206,Iowa--Ledges State Park,Ledges State Park,41.99183862,-93.87440815,,,,,1 item,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,1903,https://n2t.net/ark:/87292/w9d61g,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_14,IowaStateParks_14,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,,image/jpeg,multiple,,/objects/small/04-08-l_offcampus_0377-013-003c_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-003c_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks014,iowastateparks013,Front,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_12,IowaStateParks_12,,,,image/tiff,04-08-l_offcampus_0377-013-003c.jpg,04-08-l_offcampus_0377-013-003c,image/jpeg,image,/objects/04-08-l_offcampus_0377-013-003c.jpg,/objects/small/04-08-l_offcampus_0377-013-003c_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-003c_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks015,iowastateparks013,Back,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_13,IowaStateParks_13,,,,image/tiff,04-08-l_offcampus_0377-013-003d.jpg,04-08-l_offcampus_0377-013-003d,image/jpeg,image,/objects/04-08-l_offcampus_0377-013-003d.jpg,/objects/small/04-08-l_offcampus_0377-013-003d_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-003d_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks016,,Group in Ledges State Park,A black and white photograph showing a group of people in a camp site located in Ledges State Park.,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,,,Iowa--Boone County,http://id.worldcat.org/fast/1212206,Iowa--Ledges State Park,Ledges State Park,41.99183862,-93.87440815,,,,,1 item,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,1903,https://n2t.net/ark:/87292/w98d0x,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_17,IowaStateParks_17,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,,image/jpeg,multiple,,/objects/small/04-08-l_offcampus_0377-013-004b_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-004b_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks017,iowastateparks016,Front,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_16,IowaStateParks_16,,,,image/tiff,04-08-l_offcampus_0377-013-004b.jpg,04-08-l_offcampus_0377-013-004b,image/jpeg,image,/objects/04-08-l_offcampus_0377-013-004b.jpg,/objects/small/04-08-l_offcampus_0377-013-004b_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-004b_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks018,iowastateparks016,Back,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_15,IowaStateParks_15,,,,image/tiff,04-08-l_offcampus_0377-013-004a.jpg,04-08-l_offcampus_0377-013-004a,image/jpeg,image,/objects/04-08-l_offcampus_0377-013-004a.jpg,/objects/small/04-08-l_offcampus_0377-013-004a_sm.jpg,/objects/thumbs/04-08-l_offcampus_0377-013-004a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks019,,Professor G. B. MacDonald,A black and white photograph of Professor G. B. MacDonald.,RS 9/14,Iowa State University. Department of Forestry records,https://n2t.net/ark:/87292/w9z18c,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,,,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,1 photograph,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,https://n2t.net/ark:/87292/w94p5b,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_20,IowaStateParks_20,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,,image/jpeg,multiple,,/objects/small/09-14-a_macdonald_0720-005-001a_sm.jpg,/objects/thumbs/09-14-a_macdonald_0720-005-001a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks020,iowastateparks019,Front,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_18,IowaStateParks_18,,,,image/tiff,09-14-a_macdonald_0720-005-001a.jpg,09-14-a_macdonald_0720-005-001a,image/jpeg,image,/objects/09-14-a_macdonald_0720-005-001a.jpg,/objects/small/09-14-a_macdonald_0720-005-001a_sm.jpg,/objects/thumbs/09-14-a_macdonald_0720-005-001a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks021,iowastateparks019,Back,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_19,IowaStateParks_19,,,,image/tiff,09-14-a_macdonald_0720-005-001b.jpg,09-14-a_macdonald_0720-005-001b,image/jpeg,image,/objects/09-14-a_macdonald_0720-005-001b.jpg,/objects/small/09-14-a_macdonald_0720-005-001b_sm.jpg,/objects/thumbs/09-14-a_macdonald_0720-005-001b_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks022,,Louis Hermann Pammel letter to Mrs. E. F. Armstrong with a carbon copy to Mrs. C. H. McNider,A letter from Pammel to Mrs. Armstrong regarding the use of ledges and potential sites he believes the state should purchase for the use of the state parks.,RS 13/5/13,Louis Hermann Pammel papers,https://n2t.net/ark:/87292/w9jv31,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,,,Iowa--Webster County;Iowa--Story County;Iowa--Cerro Gordo County,http://id.worldcat.org/fast/1212641;http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1212208,,,,,,,,,3 pages,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1926-07-02,https://n2t.net/ark:/87292/w9103r,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_24,IowaStateParks_24,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,,image/jpeg,multiple,,/objects/small/13-05-13_pammel_0044-003_c-001a_sm.jpg,/objects/thumbs/13-05-13_pammel_0044-003_c-001a_th.jpg,,,,/objects/pdf/13-05-13_pammel_0044-003_c-001.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks023,iowastateparks022,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,13-05-13_pammel_0044-003_c-001a.jpg,13-05-13_pammel_0044-003_c-001a,image/jpeg,image,/objects/13-05-13_pammel_0044-003_c-001a.jpg,/objects/small/13-05-13_pammel_0044-003_c-001a_sm.jpg,/objects/thumbs/13-05-13_pammel_0044-003_c-001a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reformatted digital
iowastateparks024,iowastateparks022,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,13-05-13_pammel_0044-003_c-001b.jpg,13-05-13_pammel_0044-003_c-001b,image/jpeg,image,/objects/13-05-13_pammel_0044-003_c-001b.jpg,/objects/small/13-05-13_pammel_0044-003_c-001b_sm.jpg,/objects/thumbs/13-05-13_pammel_0044-003_c-001b_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reformatted digital
iowastateparks025,,"Report on the existing conditions and proposed landscape development on the tract of land near Lehigh, Iowa, known as Dolliver Park","A report to the Board of Conservation of the State of Iowa regarding the existing conditions and proposed landscape development on the tract of landed near Lehigh, Iowa know as Dolliver Park.",RS 13/5/13,Louis Hermann Pammel papers,https://n2t.net/ark:/87292/w9jv31,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,,,Iowa--Webster County,http://id.worldcat.org/fast/1212641,,,,,,,,,3 pages,"The Iowa State University Library has reviewed this item but was unable to make a conclusive determination as to the copyright and related rights status of the item. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/UND/1.0/,1923-06-19,https://n2t.net/ark:/87292/w9w60f,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_28,IowaStateParks_28,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,13-05-13_pammel_0049-002-007-01,image/jpeg,image,,/objects/small/13-05-13_pammel_0049-002-007-01_sm.jpg,/objects/thumbs/13-05-13_pammel_0049-002-007-01_th.jpg,,,,/objects/pdf/13-05-13_pammel_0049-002-007.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks026,iowastateparks025,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,13-05-13_pammel_0049-002-007-01.jpg,13-05-13_pammel_0049-002-007-01,image/jpeg,image,/objects/13-05-13_pammel_0049-002-007-01.jpg,/objects/small/13-05-13_pammel_0049-002-007-01_sm.jpg,/objects/thumbs/13-05-13_pammel_0049-002-007-01_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reformatted digital
